ID,Company,TypeName,Inches,resolution_width,resolution_height,TouchScreen,cpu_brand,cpu_name,cpu_speed,Ram,Memory_Type,primary_memory,secondary_memory,Gpu_brand,OpSys,Weight,Price
77,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,hybrid,128,1024,Nvidia,Windows,2,52055
78,Dell,Ultrabook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,58403
79,Apple,Ultrabook,12,2304,1440,0,Intel,"Core i5",1.30,8,SSD,512,0,Intel,Mac,0,80453
80,HP,Notebook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,45821
81,Lenovo,Notebook,15.6,1920,1080,0,AMD,"A6-Series 9220",2.50,4,SSD,128,0,AMD,Windows,2,21259
82,Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.00,4,HDD,1024,0,AMD,Windows,2,21046
83,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,128,1024,Nvidia,Windows,2,71875
84,HP,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia,Windows,1,37243
85,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Intel,Windows,1,31914
86,Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,128,1024,Nvidia,Windows,2,77203
87,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,87859
88,Asus,Gaming,15.6,1920,1080,0,AMD,"FX 9830P",3.00,8,HDD,1024,0,AMD,Windows,2,37243
89,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,2,HDD,1024,0,Nvidia,Windows,2,36710
90,HP,Notebook,13.3,1920,1080,0,Intel,"Core i7",1.80,16,SSD,512,0,Intel,Windows,1,63776
91,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia,Windows,2,63670
92,Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,Intel,Windows,1,55891
93,Acer,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,45128
94,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.70,8,HDD,1024,0,AMD,Linux,2,31963
95,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,SSD,256,0,AMD,Linux,2,25841
96,Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.40,6,SSD,256,0,Nvidia,Windows,2,30743
97,HP,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,12,hybrid,128,1024,Nvidia,Windows,2,66547
98,HP,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,AMD,Windows,1,38308
99,HP,Notebook,15.6,1920,1080,0,AMD,"E-Series E2-9000e",1.50,4,HDD,500,0,AMD,Windows,2,18595
100,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,HDD,1024,0,AMD,Linux,2,34472
101,HP,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,Nvidia,Windows,1,59620
102,Microsoft,Ultrabook,13.5,2256,1504,1,Intel,"Core i5",2.50,8,SSD,256,0,Intel,Windows,1,71395
103,HP,Notebook,14,1920,1080,0,Intel,"Core i5",2.50,6,SSD,256,0,Nvidia,Windows,1,35112
104,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,HDD,1024,0,Intel,Windows,1,22106
105,Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,Nvidia,Windows,1,63563
106,MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,2,69211
107,Lenovo,Notebook,14,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,Intel,Windows,1,78854
108,Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i7",1.80,16,hybrid,256,1024,Nvidia,Windows,1,67239
109,Dell,Ultrabook,13.3,3200,1800,1,Intel,"Core i7",2.40,8,SSD,256,0,Intel,Windows,1,73473
110,Lenovo,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",2.50,8,SSD,256,0,Intel,Windows,1,74539
111,HP,Notebook,14,1366,768,0,Intel,"Core i5",1.60,4,HDD,500,0,Intel,Windows,1,38468
112,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,86793
113,HP,Notebook,14,1920,1080,0,Intel,"Core i7",1.80,8,SSD,512,0,Intel,Windows,1,57756
114,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,hybrid,256,1024,Nvidia,Windows,2,60224
115,Asus,Notebook,17.3,1920,1080,0,Intel,"Core i3",2.00,4,HDD,1024,0,Nvidia,Windows,2,30050
116,Asus,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia,Windows,1,59567
117,Acer,Notebook,15.6,1920,1080,1,Intel,"Core i3",2.40,6,HDD,1024,0,Intel,Windows,2,25521
118,MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,2048,Nvidia,Windows,1,119427
119,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia,N/A,2,33513
120,HP,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.80,16,SSD,512,0,Nvidia,Windows,2,67719
121,Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.00,4,SSD,256,0,AMD,Windows,2,24029
122,HP,Notebook,14,1920,1080,0,Intel,"Core i5",1.60,8,HDD,1024,0,Intel,Windows,1,43263
123,Asus,Notebook,14,1366,768,0,AMD,"E-Series 6110",1.50,4,SSD,64,0,AMD,Windows,1,14811
124,Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.80,16,hybrid,256,2048,AMD,Windows,2,74379
125,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,2,49444
126,Dell,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,8,HDD,1024,0,AMD,Windows,2,34045
127,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,HDD,1024,0,AMD,Windows,2,23923
128,Acer,Ultrabook,14,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,47100
129,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.70,4,SSD,256,0,Nvidia,Windows,7,30476
130,HP,Notebook,15.6,1366,768,0,Intel,"Core i7",2.70,8,HDD,1024,0,Intel,Windows,2,31861
131,HP,Notebook,14,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,52641
132,Lenovo,Notebook,15.6,1366,768,0,Intel,"Celeron Dual",1.10,4,HDD,1024,0,Intel,N/A,1,13446
133,Asus,Gaming,17.3,1920,1080,0,Intel,"Core i5",2.50,8,hybrid,128,1024,Nvidia,Windows,3,49977
134,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,4,HDD,1024,0,Nvidia,N/A,2,26587
135,HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",2.50,4,SSD,256,0,Intel,Windows,1,37243
136,Acer,Notebook,17.3,1920,1080,0,Intel,"Core i3",2.70,4,HDD,1024,0,Nvidia,Windows,3,34898
137,Lenovo,Notebook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,AMD,Windows,1,59462
138,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,8,SSD,256,0,Nvidia,N/A,2,46300
139,Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i5",2.30,4,HDD,500,0,Intel,Windows,2,32075
140,HP,Notebook,15.6,1366,768,0,AMD,"A6-Series 9220",2.50,4,SSD,256,0,AMD,Windows,1,19660
141,Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,58555
142,HP,Ultrabook,12.5,3840,2160,1,Intel,"Core M",1.20,8,SSD,512,0,Intel,Windows,0,107306
143,Asus,Notebook,15.6,1920,1080,0,Intel,"Celeron Dual",1.10,4,HDD,1024,0,Intel,Windows,2,18328
144,Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.00,4,HDD,1024,0,Intel,Windows,2,23816
145,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia,Windows,2,66561
146,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,8,hybrid,1024,0,Nvidia,Windows,2,47899
147,Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,4,SSD,128,0,Intel,Windows,1,26533
148,MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,2,100699
149,HP,Ultrabook,14,1920,1080,0,Intel,"Core i5",2.70,4,SSD,256,0,Intel,Windows,1,57649
150,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,6,SSD,256,0,AMD,Windows,1,32980
151,Lenovo,"2 in 1 Convertible",14,1920,1080,1,Intel,"Core i3",2.40,4,SSD,256,0,Intel,Windows,1,33513
152,Asus,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,70063
153,Dell,"2 in 1 Convertible",15.6,1920,1080,1,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,55891
154,Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i3",2.20,4,HDD,500,0,Intel,Windows,2,23816
155,Asus,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.00,4,HDD,1024,0,AMD,Windows,2,21472
156,Acer,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,4,SSD,256,0,Nvidia,Windows,3,42890
157,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,AMD,Windows,2,38788
158,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,SSD,256,0,Nvidia,Windows,2,57489
159,Acer,Notebook,15.6,1366,768,0,Intel,"Celeron Dual",1.10,4,HDD,1024,0,Intel,Windows,2,18541
160,MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,2,95851
161,Acer,Notebook,15.6,1366,768,0,Intel,"Pentium Quad",1.10,4,HDD,1024,0,Intel,Windows,2,19368
162,Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,8,hybrid,128,1024,Nvidia,Windows,2,56503
163,Acer,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia,Windows,3,45501
164,HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",1.60,4,HDD,500,0,Intel,Windows,1,40173
165,Huawei,Ultrabook,13,2160,1440,0,Intel,"Core i5",2.50,8,SSD,256,0,Intel,Windows,1,71875
166,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",2.50,6,HDD,2048,0,AMD,Windows,2,37243
167,Lenovo,Notebook,15.6,1366,768,0,AMD,"A6-Series 9220",2.90,4,HDD,500,0,AMD,N/A,2,16464
168,Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i3",2.40,4,HDD,500,0,Intel,Windows,5,26054
169,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia,Windows,2,49177
170,Dell,Notebook,15.6,1366,768,0,Intel,"Core i3",2.40,8,HDD,1024,0,Intel,Windows,2,24456
171,Acer,Notebook,15.6,1366,768,0,Intel,"Core i3",2.00,4,SSD,128,0,Intel,Windows,2,23923
172,MSI,Gaming,18.4,1920,1080,0,Intel,"Core i7",2.90,32,hybrid,512,1024,Nvidia,Windows,4,149131
173,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,hybrid,128,1024,AMD,Windows,1,43317
174,HP,"2 in 1 Convertible",13.3,3840,2160,1,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,79867
175,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7",1.80,16,hybrid,256,2048,AMD,Linux,2,55891
176,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,74539
177,Lenovo,"2 in 1 Convertible",13.9,3840,2160,1,Intel,"Core i7",1.80,16,SSD,512,0,Intel,Windows,1,98515
178,Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i5",2.50,8,SSD,128,0,Intel,Windows,2,42251
179,Xiaomi,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia,N/A,1,63883
180,Dell,Notebook,17.3,1920,1080,1,Intel,"Core i7",1.80,16,SSD,512,0,Nvidia,Windows,2,82531
181,Dell,Notebook,15.6,3840,2160,1,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia,Windows,2,127712
182,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia,N/A,2,41505
183,Acer,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",1.20,8,SSD,256,0,Intel,Windows,1,52694
184,Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.80,8,hybrid,128,1024,AMD,Windows,2,57809
185,Vero,Notebook,14,1920,1080,0,Intel,"Celeron Dual",1.10,4,"Flash Storage",32,0,Intel,Windows,1,13853
186,Xiaomi,Ultrabook,13.3,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia,N/A,1,53275
187,Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia,N/A,2,37189
188,Dell,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i7",1.80,8,HDD,1024,0,Intel,Windows,1,44702
189,HP,Notebook,17.3,1920,1080,0,Intel,"Core i5",1.60,8,HDD,1024,0,Nvidia,Windows,2,48698
190,Razer,Gaming,17.3,3840,2160,1,Intel,"Core i7",2.90,32,SSD,1024,0,Nvidia,Windows,3,324955
191,HP,Notebook,13.3,1920,1080,0,Intel,"Core i5",1.60,8,SSD,512,0,Intel,Windows,1,51096
192,HP,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,3,73473
193,HP,Notebook,17.3,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia,Windows,2,55678
194,Dell,Gaming,15.6,3840,2160,0,Intel,"Core i7",2.80,16,hybrid,512,1024,Nvidia,Windows,2,98302
195,Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5",2.30,4,SSD,128,0,Intel,Windows,2,26267
196,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.70,8,HDD,1024,0,Nvidia,Windows,2,39534
197,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,512,1024,Nvidia,Windows,3,93187
198,Dell,Workstation,15.6,3840,2160,0,Intel,"Xeon E3-1505M",3.00,16,hybrid,256,1024,Nvidia,Windows,2,162770
199,Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia,N/A,2,74485
200,Dell,Notebook,15.6,1366,768,1,Intel,"Core i3",2.40,6,HDD,1024,0,Intel,Windows,2,23390
201,Dell,Ultrabook,13.3,3840,2160,1,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,1,103843
202,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Intel,Windows,0,77203
203,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.80,8,HDD,1024,0,Nvidia,Linux,2,41505
204,Asus,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,2,74965
205,HP,Notebook,15.6,1920,1080,0,Intel,"Core i3",2.00,4,HDD,500,0,Intel,N/A,2,18595
206,Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Intel,N/A,2,29251
207,Huawei,Ultrabook,13,2160,1440,0,Intel,"Core i7",2.70,8,SSD,512,0,Intel,Windows,1,79867
208,Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,AMD,Windows,1,49651
209,Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i5",2.50,8,HDD,1024,0,Nvidia,N/A,2,31382
210,HP,Notebook,14,1920,1080,0,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia,Windows,1,54932
211,Dell,Ultrabook,14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,61219
212,Dell,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i7",1.80,16,SSD,512,0,Intel,Windows,1,68145
213,Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,AMD,Linux,2,36089
214,Lenovo,"2 in 1 Convertible",14,1920,1080,0,Intel,"Core i5",1.60,8,SSD,256,0,Intel,Windows,1,47899
215,Toshiba,Ultrabook,13.3,1920,1080,0,Intel,"Core i7",2.50,8,SSD,256,0,Intel,Windows,1,72621
216,HP,Notebook,15.6,1920,1080,0,Intel,"Core i5",1.60,8,HDD,1024,0,Intel,Windows,2,42304
217,Dell,Gaming,17.3,1920,1080,0,Intel,"Core i7",2.80,16,hybrid,256,1024,Nvidia,Windows,4,130874
218,Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7",2.70,8,SSD,256,0,Nvidia,Windows,2,44329
219,Dell,Notebook,15.6,1920,1080,1,Intel,"Core i7",2.70,16,HDD,1024,0,AMD,Windows,2,45768
220,Asus,Notebook,15.6,1920,1080,0,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia,Windows,2,40972
221,Asus,Notebook,17.3,1920,1080,0,Intel,"Core i5",2.50,8,hybrid,256,500,Nvidia,Windows,2,47472
